lot_frontage,lot_area,year_built,year_remod/add,mas_vnr_area,bsmtfin_sf_1,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,garage_area,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,roof_matl,roof_style,street,land_contour,land_slope,lot_config,lot_shape,garage_type,exter_cond,exter_qual,bsmt_exposure,bldg_type,saleprice
72.0,8640,2009,2009,0.0,24.0,0.0,732.0,756.0,764,783,0,1547,614.0,169,45,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Attchd,TA,TA,Mn,1Fam,215200
109.0,8724,1968,1968,0.0,492.0,0.0,402.0,894.0,894,0,0,894,450.0,0,0,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Attchd,TA,TA,No,1Fam,129000
40.0,5664,2000,2000,0.0,1158.0,0.0,343.0,1501.0,1659,0,0,1659,499.0,212,59,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,IR1,Attchd,TA,Gd,No,TwnhsE,278000
103.0,12867,2005,2006,,0.0,0.0,1209.0,1209.0,1209,1044,0,2253,575.0,243,142,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Corner,IR1,Attchd,TA,Gd,Av,1Fam,344133
,7980,1992,2007,0.0,935.0,0.0,233.0,1168.0,1187,0,0,1187,420.0,483,21,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,IR1,Attchd,Gd,TA,No,1Fam,185000
100.0,34650,1955,1955,0.0,1056.0,0.0,0.0,1056.0,1056,0,0,1056,572.0,264,0,0,0,0,0,CompShg,Hip,Pave,Bnk,Gtl,Inside,Reg,Attchd,TA,TA,Mn,2fmCon,145000
92.0,10573,1961,1961,3.0,1312.0,0.0,141.0,1453.0,1453,0,0,1453,530.0,0,49,0,0,288,0,CompShg,Hip,Pave,Lvl,Gtl,Corner,IR1,Attchd,TA,TA,No,1Fam,187500
65.0,8450,1965,2009,0.0,553.0,117.0,224.0,894.0,894,0,0,894,336.0,416,144,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Detchd,Gd,TA,No,1Fam,138500
,11700,1937,1995,0.0,606.0,0.0,336.0,942.0,1265,673,0,1938,240.0,0,40,0,0,0,0,CompShg,Gable,Pave,HLS,Mod,Inside,IR1,Detchd,TA,TA,No,1Fam,198000
75.0,8250,1895,2006,0.0,0.0,0.0,957.0,957.0,1034,957,0,1991,0.0,0,0,133,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,,Gd,TA,No,2fmCon,119600
60.0,8064,1949,2006,0.0,0.0,0.0,672.0,672.0,672,252,0,924,576.0,0,0,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Corner,Reg,Detchd,Gd,TA,Mn,1Fam,122900
80.0,9600,1981,1981,0.0,1104.0,0.0,1420.0,2524.0,2524,0,0,2524,542.0,474,120,0,0,0,0,WdShngl,Hip,Pave,Lvl,Gtl,Inside,Reg,Attchd,TA,Gd,No,1Fam,278000
,11435,1929,1950,0.0,0.0,0.0,792.0,792.0,792,725,0,1517,400.0,0,0,0,0,0,0,CompShg,Gable,Pave,HLS,Mod,Corner,IR1,Detchd,TA,TA,No,1Fam,230000
30.0,9549,1995,1996,0.0,437.0,1057.0,0.0,1494.0,1494,0,0,1494,481.0,0,30,0,0,216,0,CompShg,Hip,Pave,Lvl,Gtl,CulDSac,IR1,Attchd,Gd,Gd,Av,TwnhsE,270000
60.0,10950,1952,1952,0.0,441.0,0.0,507.0,948.0,948,0,0,948,410.0,0,48,0,0,0,0,CompShg,Hip,Pave,Lvl,Gtl,Inside,Reg,Detchd,TA,TA,No,1Fam,125000
79.0,10637,2007,2008,336.0,1288.0,0.0,417.0,1705.0,1718,0,0,1718,826.0,208,44,0,0,0,0,CompShg,Hip,Pave,Lvl,Gtl,Inside,Reg,Attchd,TA,Gd,Gd,1Fam,297000
80.0,9000,1958,1958,82.0,0.0,0.0,160.0,160.0,1142,0,0,1142,384.0,0,28,64,0,0,0,Tar&Grv,Flat,Pave,HLS,Mod,Inside,IR1,Basment,TA,TA,Gd,1Fam,113500
41.0,2665,1977,1977,0.0,548.0,173.0,36.0,757.0,925,550,0,1475,336.0,104,26,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Attchd,TA,TA,No,TwnhsE,127000
105.0,11751,1977,1977,480.0,705.0,0.0,1139.0,1844.0,1844,0,0,1844,546.0,0,122,0,0,0,0,CompShg,Hip,Pave,Lvl,Gtl,Inside,IR1,Attchd,TA,TA,No,1Fam,190000
80.0,9600,1973,1973,320.0,916.0,0.0,326.0,1242.0,1242,0,0,1242,528.0,0,0,0,0,0,0,CompShg,Hip,Pave,Lvl,Gtl,Inside,Reg,Attchd,TA,TA,No,1Fam,175500
60.0,8428,1994,1994,0.0,420.0,0.0,570.0,990.0,990,0,0,990,384.0,256,0,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,IR2,Detchd,Gd,TA,No,1Fam,146000
75.0,9937,1965,1965,0.0,830.0,290.0,136.0,1256.0,1256,0,0,1256,276.0,736,68,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Attchd,TA,Gd,No,1Fam,147500
107.0,13891,2006,2006,,1386.0,0.0,690.0,2076.0,2076,0,0,2076,850.0,216,229,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Attchd,TA,Ex,Gd,1Fam,465000
,9101,1978,1978,104.0,1097.0,0.0,0.0,1097.0,1110,0,0,1110,602.0,303,30,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Corner,IR1,Attchd,Gd,TA,Av,1Fam,165500
81.0,12150,1954,1954,335.0,0.0,0.0,1050.0,1050.0,1050,745,0,1795,352.0,0,0,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Attchd,TA,TA,No,1Fam,131500
70.0,11200,1965,1965,0.0,906.0,0.0,134.0,1040.0,1040,0,0,1040,384.0,0,0,0,0,0,0,CompShg,Hip,Pave,Lvl,Gtl,Inside,Reg,Detchd,TA,TA,No,1Fam,129500
100.0,9670,1935,1950,40.0,210.0,0.0,398.0,608.0,983,890,0,1873,786.0,0,0,207,0,0,0,CompShg,Gable,Pave,HLS,Mod,Inside,IR1,Detchd,TA,TA,No,1Fam,257076
60.0,10998,1941,1960,0.0,408.0,420.0,156.0,984.0,984,620,0,1604,660.0,0,68,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Detchd,TA,TA,No,1Fam,117000
60.0,7200,1931,2000,0.0,0.0,0.0,776.0,776.0,851,651,0,1502,270.0,0,0,112,0,0,0,CompShg,Gable,Pave,HLS,Mod,Inside,Reg,Attchd,Fa,TA,No,1Fam,149000
80.0,9920,1954,1954,110.0,354.0,290.0,412.0,1056.0,1063,0,0,1063,280.0,0,0,164,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Attchd,TA,TA,No,1Fam,128000
36.0,2448,2003,2004,106.0,0.0,0.0,764.0,764.0,764,862,0,1626,474.0,0,27,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,BuiltIn,TA,Gd,No,Twnhs,155000
,2998,2000,2000,513.0,353.0,0.0,403.0,756.0,768,756,0,1524,440.0,0,32,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Detchd,TA,Gd,No,TwnhsE,166000
65.0,7804,1928,1950,0.0,622.0,0.0,500.0,1122.0,1328,653,0,1981,576.0,431,44,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Detchd,TA,TA,No,1Fam,135000
80.0,16692,1978,1978,184.0,790.0,469.0,133.0,1392.0,1392,1392,0,2784,564.0,0,112,0,0,440,519,CompShg,Gable,Pave,Lvl,Gtl,Inside,IR1,Attchd,TA,TA,No,1Fam,250000
21.0,1476,1970,1970,0.0,176.0,0.0,370.0,546.0,546,546,0,1092,0.0,200,26,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,,TA,TA,No,Twnhs,76000
75.0,10170,1951,1951,522.0,0.0,0.0,216.0,216.0,1575,0,0,1575,400.0,0,0,0,0,0,0,CompShg,Hip,Pave,Lvl,Gtl,Corner,Reg,Attchd,TA,TA,No,1Fam,155000
80.0,9364,1969,1969,143.0,371.0,0.0,292.0,663.0,663,689,0,1352,299.0,379,36,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Corner,Reg,Attchd,TA,TA,No,1Fam,158000
24.0,2544,2004,2005,0.0,368.0,42.0,190.0,600.0,600,600,0,1200,480.0,0,172,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Detchd,TA,Gd,No,Twnhs,149500
82.0,9888,1954,1975,0.0,486.0,0.0,450.0,936.0,936,0,0,936,240.0,0,0,160,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Attchd,Gd,TA,No,1Fam,121000
68.0,7942,1953,1953,0.0,85.0,955.0,0.0,1040.0,1040,0,0,1040,293.0,0,0,0,0,0,0,CompShg,Hip,Pave,Lvl,Gtl,Inside,Reg,Attchd,TA,TA,No,1Fam,136000
,15038,1996,1996,0.0,138.0,0.0,778.0,916.0,916,720,0,1636,386.0,168,84,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Corner,IR2,Attchd,TA,TA,No,1Fam,173000
92.0,11764,1999,2007,348.0,524.0,0.0,628.0,1152.0,1164,1106,0,2270,671.0,132,57,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,CulDSac,IR1,Attchd,TA,Gd,No,1Fam,290000
75.0,9000,2007,2007,0.0,64.0,0.0,1120.0,1184.0,1184,1426,0,2610,550.0,208,364,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,BuiltIn,TA,Gd,Av,1Fam,303477
,20062,1977,2001,0.0,1092.0,0.0,328.0,1420.0,1483,0,0,1483,690.0,496,0,0,0,0,0,CompShg,Hip,Pave,Low,Mod,Inside,IR1,Attchd,Gd,Gd,Gd,1Fam,270000
81.0,7308,1920,1950,0.0,360.0,0.0,576.0,936.0,960,780,0,1740,225.0,0,0,236,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Corner,Reg,Detchd,Fa,Fa,No,1Fam,122250
70.0,8750,1955,1955,0.0,172.0,483.0,727.0,1382.0,1382,0,0,1382,350.0,280,0,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Attchd,TA,TA,No,1Fam,153000
70.0,8402,2007,2007,0.0,206.0,0.0,914.0,1120.0,1120,0,0,1120,0.0,0,30,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,,TA,TA,No,1Fam,147000
63.0,4000,1930,1995,0.0,246.0,0.0,285.0,531.0,567,531,0,1098,216.0,0,0,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Detchd,TA,TA,No,1Fam,148500
32.0,3363,2004,2004,117.0,0.0,0.0,976.0,976.0,976,732,0,1708,380.0,0,40,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Detchd,TA,Gd,No,TwnhsE,130000
94.0,13615,2006,2006,510.0,0.0,0.0,1802.0,1802.0,1802,0,0,1802,843.0,158,105,0,0,0,0,CompShg,Hip,Pave,HLS,Mod,Corner,IR1,Attchd,TA,Ex,Gd,1Fam,372000
43.0,3013,2005,2005,145.0,16.0,0.0,1346.0,1362.0,1506,0,0,1506,440.0,142,20,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Attchd,TA,Gd,Gd,TwnhsE,213490
44.0,17485,2009,2010,96.0,1346.0,0.0,162.0,1508.0,1508,0,0,1508,572.0,0,0,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,IR2,Attchd,TA,Gd,Gd,1Fam,308030
,23730,1996,1997,668.0,700.0,0.0,1140.0,1840.0,2032,0,0,2032,786.0,0,46,192,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,IR2,Attchd,TA,Gd,Mn,1Fam,300000
79.0,8910,1959,1959,0.0,655.0,0.0,0.0,655.0,1194,0,0,1194,539.0,0,0,192,0,0,0,CompShg,Hip,Pave,Lvl,Gtl,Corner,Reg,BuiltIn,TA,TA,Mn,1Fam,159500
24.0,2522,2004,2004,50.0,0.0,0.0,970.0,970.0,970,739,0,1709,380.0,0,40,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Detchd,TA,Gd,No,Twnhs,137500
73.0,8688,2005,2005,228.0,0.0,0.0,1616.0,1616.0,1616,0,0,1616,834.0,208,59,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Attchd,TA,Gd,Av,1Fam,232000
,6291,1930,1950,0.0,0.0,0.0,768.0,768.0,768,0,0,768,440.0,0,0,84,0,0,0,CompShg,Gable,Grvl,Lvl,Gtl,Inside,IR1,Detchd,Gd,Gd,No,1Fam,93850
,17529,1924,1950,65.0,0.0,0.0,872.0,872.0,872,0,0,872,322.0,0,0,116,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Detchd,TA,TA,No,1Fam,105000
60.0,6324,1927,1950,0.0,0.0,0.0,520.0,520.0,520,0,0,520,240.0,49,0,87,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,IR1,Detchd,TA,TA,No,1Fam,68500
80.0,11600,1960,1960,361.0,443.0,0.0,662.0,1105.0,1105,1169,0,2274,480.0,0,0,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Corner,Reg,Detchd,TA,TA,No,Duplex,154300
50.0,7288,1925,2003,0.0,0.0,0.0,936.0,936.0,936,665,0,1601,0.0,0,0,0,176,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,,Gd,Gd,No,1Fam,129850
35.0,4571,1910,1950,0.0,168.0,0.0,448.0,616.0,616,616,0,1232,480.0,280,0,143,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Detchd,TA,TA,No,1Fam,114000
63.0,17423,2008,2009,748.0,1904.0,0.0,312.0,2216.0,2234,0,0,2234,1166.0,0,60,0,0,0,0,CompShg,Hip,Pave,Lvl,Gtl,CulDSac,IR1,Attchd,TA,Ex,No,1Fam,501837
100.0,12665,1915,1950,0.0,0.0,0.0,876.0,876.0,876,540,0,1416,720.0,418,0,194,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,IR1,Detchd,TA,TA,Mn,1Fam,153900
60.0,9000,1971,2006,0.0,240.0,0.0,624.0,864.0,864,0,0,864,576.0,200,0,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,FR2,Reg,Detchd,Gd,TA,No,1Fam,130000
32.0,4500,1997,1997,197.0,864.0,0.0,325.0,1189.0,1189,0,0,1189,392.0,0,122,0,0,0,0,CompShg,Hip,Pave,Lvl,Gtl,FR2,Reg,Attchd,TA,TA,No,TwnhsE,160500
48.0,6373,2006,2006,572.0,415.0,0.0,1251.0,1666.0,1666,0,0,1666,575.0,228,75,0,0,0,0,CompShg,Hip,Pave,Lvl,Gtl,Inside,Reg,Attchd,TA,Ex,No,TwnhsE,310090
67.0,10083,2003,2003,,833.0,0.0,343.0,1176.0,1200,0,0,1200,555.0,0,41,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Attchd,TA,Gd,No,1Fam,184900
70.0,13300,1956,2000,0.0,377.0,0.0,551.0,928.0,928,0,0,928,252.0,261,0,156,0,0,0,CompShg,Hip,Pave,Lvl,Gtl,Inside,Reg,Attchd,TA,TA,No,1Fam,132000
80.0,9600,1969,1969,128.0,553.0,147.0,588.0,1288.0,1336,0,0,1336,502.0,312,11,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Attchd,TA,TA,Mn,1Fam,163000
30.0,3215,2004,2004,120.0,280.0,0.0,320.0,600.0,600,600,0,1200,480.0,0,172,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Detchd,TA,Gd,Av,TwnhsE,155000
,11104,1969,1969,0.0,828.0,0.0,599.0,1427.0,1427,0,0,1427,516.0,0,0,0,0,216,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,IR1,Attchd,TA,TA,Av,1Fam,183000
,15295,1996,2002,254.0,762.0,0.0,98.0,860.0,1212,780,0,1992,608.0,225,32,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Corner,IR3,Attchd,TA,Gd,Mn,1Fam,211000
70.0,9109,1994,1994,0.0,36.0,596.0,122.0,754.0,754,786,0,1540,495.0,140,32,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Attchd,TA,Gd,No,1Fam,184000
64.0,7018,1979,1979,0.0,0.0,0.0,0.0,0.0,1535,0,0,1535,400.0,0,0,0,0,0,0,CompShg,Gable,Pave,Bnk,Gtl,Inside,Reg,Attchd,TA,TA,,Duplex,118858
,14112,1964,1964,86.0,1014.0,0.0,138.0,1152.0,1152,0,0,1152,484.0,227,0,0,0,0,0,CompShg,Hip,Pave,Lvl,Gtl,Corner,IR1,Attchd,TA,TA,Av,1Fam,180500
80.0,3523,2006,2007,30.0,60.0,0.0,1081.0,1141.0,1151,0,0,1151,484.0,0,60,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,IR1,Attchd,TA,Gd,No,TwnhsE,166000
88.0,15312,1960,1960,54.0,588.0,0.0,550.0,1138.0,1138,0,0,1138,480.0,0,0,0,0,140,0,CompShg,Hip,Pave,Lvl,Gtl,Inside,Reg,Attchd,TA,TA,Av,1Fam,148000
74.0,7450,1956,1956,0.0,438.0,206.0,250.0,894.0,1074,0,0,1074,396.0,0,72,0,0,0,0,CompShg,Hip,Pave,Lvl,Gtl,Inside,IR1,Detchd,TA,TA,No,1Fam,124000
60.0,7313,2005,2005,246.0,1153.0,0.0,408.0,1561.0,1561,0,0,1561,556.0,203,47,0,0,0,0,CompShg,Hip,Pave,Lvl,Gtl,Inside,Reg,Attchd,TA,Ex,No,TwnhsE,277500
83.0,10019,1995,1995,397.0,527.0,0.0,815.0,1342.0,1358,1368,0,2726,725.0,307,169,168,0,0,0,CompShg,Hip,Pave,Lvl,Gtl,Inside,IR1,Attchd,TA,Gd,No,1Fam,350000
53.0,15401,2004,2004,296.0,1337.0,0.0,547.0,1884.0,1884,0,0,1884,670.0,214,76,0,0,0,0,CompShg,Hip,Pave,HLS,Gtl,CulDSac,IR1,Attchd,TA,Ex,Gd,1Fam,387000
58.0,9098,1920,2002,0.0,348.0,0.0,180.0,528.0,605,0,0,605,0.0,0,0,144,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,IR1,,TA,TA,Mn,1Fam,86000
103.0,16280,1976,2007,0.0,1044.0,382.0,0.0,1426.0,1671,0,0,1671,550.0,280,90,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Attchd,Ex,Ex,Mn,1Fam,290000
72.0,9392,1900,1950,0.0,0.0,0.0,245.0,245.0,797,0,0,797,0.0,0,36,94,0,0,0,CompShg,Mansard,Pave,Lvl,Gtl,Corner,Reg,,Fa,TA,No,1Fam,44000
71.0,12209,2001,2002,0.0,690.0,0.0,114.0,804.0,804,1157,0,1961,560.0,125,192,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,CulDSac,IR1,BuiltIn,TA,TA,No,1Fam,215000
79.0,13110,1972,1972,144.0,962.0,0.0,191.0,1153.0,1193,0,0,1193,501.0,140,153,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Corner,IR1,Attchd,TA,TA,No,2fmCon,146500
,2651,2000,2000,0.0,641.0,0.0,32.0,673.0,673,709,0,1382,490.0,153,50,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,FR2,Reg,Detchd,TA,Gd,No,Twnhs,165000
60.0,8520,1916,1950,0.0,168.0,546.0,0.0,714.0,1664,862,0,2526,216.0,88,15,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Detchd,Gd,TA,No,1Fam,136000
,39384,1957,1957,902.0,1110.0,0.0,595.0,1705.0,1390,0,0,1390,550.0,0,189,0,0,0,0,CompShg,Gable,Pave,Low,Sev,CulDSac,IR1,Attchd,TA,TA,Gd,1Fam,252000
36.0,2628,2003,2003,106.0,0.0,0.0,764.0,764.0,764,862,0,1626,474.0,0,27,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,BuiltIn,TA,Gd,No,Twnhs,175500
57.0,6406,1939,1950,0.0,421.0,0.0,269.0,690.0,868,690,0,1558,400.0,0,36,0,0,182,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Detchd,TA,TA,No,1Fam,150000
,12342,1960,1978,0.0,0.0,0.0,978.0,978.0,1422,0,0,1422,286.0,0,0,36,0,0,0,CompShg,Hip,Pave,Lvl,Gtl,Inside,IR1,Attchd,TA,TA,No,1Fam,139900
52.0,6240,1930,1992,0.0,0.0,0.0,1078.0,1078.0,1128,445,0,1573,360.0,0,0,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Detchd,TA,TA,No,1Fam,162900
87.0,10000,1962,1962,261.0,0.0,0.0,1116.0,1116.0,1116,0,0,1116,440.0,0,0,0,0,385,0,CompShg,Hip,Pave,Lvl,Gtl,Corner,IR1,Attchd,TA,TA,No,1Fam,160000
,9000,1947,1950,0.0,0.0,0.0,0.0,0.0,660,0,0,660,0.0,0,0,100,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Corner,Reg,,TA,TA,,1Fam,63900
80.0,11088,1978,1998,144.0,832.0,0.0,308.0,1140.0,1707,0,0,1707,479.0,0,0,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Attchd,TA,TA,No,1Fam,184000
134.0,17755,1959,1959,132.0,176.0,0.0,1290.0,1466.0,1466,0,0,1466,528.0,0,140,0,0,100,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Attchd,TA,TA,No,1Fam,149900
,4765,2000,2000,260.0,1027.0,0.0,587.0,1614.0,1638,0,0,1638,495.0,230,68,0,0,0,0,CompShg,Hip,Pave,Lvl,Gtl,Inside,IR1,Attchd,TA,Gd,Av,TwnhsE,300000
,10532,1960,1960,275.0,988.0,0.0,0.0,988.0,1721,0,0,1721,626.0,50,84,0,0,0,0,Tar&Grv,Flat,Pave,Lvl,Gtl,Corner,Reg,Basment,TA,TA,Mn,1Fam,145000
65.0,15426,1997,1997,0.0,821.0,0.0,107.0,928.0,928,836,0,1764,470.0,276,99,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,IR1,Attchd,TA,TA,No,1Fam,231500
63.0,13907,1940,1969,0.0,290.0,0.0,706.0,996.0,996,0,0,996,0.0,144,0,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,,TA,TA,No,1Fam,108000
