lot_area,garage_area,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,gr_liv_area,low_qual_fin_sf,year_remod/add,mas_vnr_area,year_built,yr_sold,bsmt_impact,basement_volume,basement_visible_surface_area,structure_square_footage,exterior_1st_AsphShn,exterior_1st_BrkComm,exterior_1st_BrkFace,exterior_1st_CBlock,exterior_1st_CemntBd,exterior_1st_HdBoard,exterior_1st_ImStucc,exterior_1st_MetalSd,exterior_1st_Plywood,exterior_1st_Stone,exterior_1st_Stucco,exterior_1st_VinylSd,exterior_1st_Wd Sdng,exterior_1st_WdShing,exterior_2nd_AsphShn,exterior_2nd_Brk Cmn,exterior_2nd_BrkFace,exterior_2nd_CBlock,exterior_2nd_CmentBd,exterior_2nd_HdBoard,exterior_2nd_ImStucc,exterior_2nd_MetalSd,exterior_2nd_Plywood,exterior_2nd_Stone,exterior_2nd_Stucco,exterior_2nd_VinylSd,exterior_2nd_Wd Sdng,exterior_2nd_Wd Shng,mas_vnr_type_BrkFace,mas_vnr_type_None,mas_vnr_type_Stone,saleprice
2522,380.0,0,40,0,0,0,0,1709,0,2004,50.0,2004,2006,0.0,3880.0,970.0,2679.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,137500
8688,834.0,208,59,0,0,0,0,1616,0,2005,228.0,2005,2006,1616.0,6464.0,1616.0,3232.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,232000
6324,240.0,49,0,87,0,0,0,520,0,1950,0.0,1927,2008,0.0,1560.0,390.0,1040.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,68500
11600,480.0,0,0,0,0,0,0,2274,0,1960,361.0,1960,2010,0.0,3315.0,828.75,3379.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,154300
7288,0.0,0,0,0,176,0,0,1601,0,2003,0.0,1925,2007,0.0,2808.0,702.0,2537.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,129850
4571,480.0,280,0,143,0,0,0,1232,0,1950,0.0,1910,2007,0.0,1848.0,462.0,1848.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,114000
17423,1166.0,0,60,0,0,0,0,2234,0,2009,748.0,2008,2009,0.0,11080.0,2770.0,4450.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,501837
12665,720.0,418,0,194,0,0,0,1416,0,1950,0.0,1915,2008,438.0,2628.0,657.0,2292.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,153900
9000,576.0,200,0,0,0,0,0,864,0,2006,0.0,1971,2009,0.0,2592.0,648.0,1728.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,130000
4500,392.0,0,122,0,0,0,0,1189,0,1997,197.0,1997,2008,0.0,5945.0,1486.25,2378.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,160500
6373,575.0,228,75,0,0,0,0,1666,0,2006,572.0,2006,2006,0.0,8330.0,2082.5,3332.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,310090
10083,555.0,0,41,0,0,0,0,1200,0,2003,,2003,2009,0.0,4704.0,1176.0,2376.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,184900
13300,252.0,261,0,156,0,0,0,928,0,2000,0.0,1956,2007,0.0,3712.0,928.0,1856.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,132000
9600,502.0,312,11,0,0,0,0,1336,0,1969,128.0,1969,2009,644.0,5152.0,1288.0,2624.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,163000
3215,480.0,0,172,0,0,0,0,1200,0,2004,120.0,2004,2010,600.0,2400.0,600.0,1800.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,155000
9109,495.0,140,32,0,0,0,0,1540,0,1994,0.0,1994,2009,0.0,3016.0,754.0,2294.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,184000
7018,400.0,0,0,0,0,0,0,1535,0,1979,0.0,1979,2009,,,,1535.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,118858
3523,484.0,0,60,0,0,0,0,1151,0,2007,30.0,2006,2007,0.0,4564.0,1141.0,2292.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,166000
15312,480.0,0,0,0,0,140,0,1138,0,1960,54.0,1960,2009,1138.0,3414.0,853.5,2276.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,148000
7450,396.0,0,72,0,0,0,0,1074,0,1956,0.0,1956,2007,0.0,2682.0,670.5,1968.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,124000
7313,556.0,203,47,0,0,0,0,1561,0,2005,246.0,2005,2007,0.0,7805.0,1951.25,3122.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,277500
10019,725.0,307,169,168,0,0,0,2726,0,1995,397.0,1995,2006,0.0,5368.0,1342.0,4068.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,350000
15401,670.0,214,76,0,0,0,0,1884,0,2004,296.0,2004,2008,3768.0,9420.0,2355.0,3768.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,387000
9098,0.0,0,0,144,0,0,0,605,0,2002,0.0,1920,2007,264.0,1584.0,396.0,1133.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,86000
16280,550.0,280,90,0,0,0,0,1671,0,2007,0.0,1976,2008,713.0,5704.0,1426.0,3097.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,290000
9392,0.0,0,36,94,0,0,0,797,0,1950,0.0,1900,2009,0.0,490.0,122.5,1042.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44000
12209,560.0,125,192,0,0,0,0,1961,0,2002,0.0,2001,2009,0.0,4020.0,1005.0,2765.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,215000
13110,501.0,140,153,0,0,0,0,1193,0,1972,144.0,1972,2006,0.0,4612.0,1153.0,2346.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,146500
8520,216.0,88,15,0,0,0,0,2526,0,1950,0.0,1916,2007,0.0,2142.0,535.5,3240.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,136000
2628,474.0,0,27,0,0,0,0,1626,0,2003,106.0,2003,2010,0.0,3056.0,764.0,2390.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,175500
6406,400.0,0,36,0,0,182,0,1558,0,1950,0.0,1939,2009,0.0,2070.0,517.5,2248.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,150000
6240,360.0,0,0,0,0,0,0,1573,0,1992,0.0,1930,2008,0.0,3234.0,808.5,2651.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,162900
10000,440.0,0,0,0,0,385,0,1116,0,1962,261.0,1962,2010,0.0,3348.0,837.0,2232.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,160000
11088,479.0,0,0,0,0,0,0,1707,0,1998,144.0,1978,2009,0.0,3420.0,855.0,2847.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,184000
17755,528.0,0,140,0,0,100,0,1466,0,1959,132.0,1959,2006,0.0,4398.0,1099.5,2932.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,149900
15426,470.0,276,99,0,0,0,0,1764,0,1997,0.0,1997,2009,0.0,3712.0,928.0,2692.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,231500
13907,0.0,144,0,0,0,0,0,996,0,1969,0.0,1940,2008,0.0,2988.0,747.0,1992.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,108000
8750,304.0,0,35,120,0,0,0,1202,0,1956,0.0,1956,2009,0.0,3606.0,901.5,2404.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,120000
8960,360.0,0,0,130,0,0,0,1028,0,1950,0.0,1927,2010,0.0,3024.0,756.0,2036.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,115000
3500,240.0,0,35,0,0,0,0,1284,0,1950,0.0,1947,2009,0.0,2160.0,540.0,2004.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,110000
9056,403.0,100,35,0,0,0,0,1414,0,2004,0.0,2004,2006,707.0,3535.0,883.75,2121.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,178000
12320,579.0,0,0,0,0,104,0,1609,0,1990,0.0,1932,2006,0.0,1911.0,477.75,2246.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,199500
8238,400.0,421,72,0,0,0,0,1525,0,1998,0.0,1997,2006,0.0,2439.0,609.75,2338.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,183500
6000,288.0,0,180,0,0,100,0,1656,0,1967,0.0,1967,2008,312.0,2496.0,624.0,2280.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,126000
2529,440.0,0,38,0,0,0,0,1055,0,1977,0.0,1977,2008,0.0,4220.0,1055.0,2110.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,148500
