Order,PID,area,price,MS.SubClass,MS.Zoning,Lot.Frontage,Lot.Area,Street,Lot.Shape,Land.Contour,Utilities,Lot.Config,Land.Slope,Neighborhood,Condition.1,Condition.2,Bldg.Type,House.Style,Overall.Qual,Overall.Cond,Year.Built,Year.Remod.Add,Roof.Style,Roof.Matl,Exterior.1st,Exterior.2nd,Mas.Vnr.Type,Mas.Vnr.Area,Exter.Qual,Exter.Cond,Foundation,Bsmt.Qual,Bsmt.Cond,Bsmt.Exposure,BsmtFin.Type.1,BsmtFin.SF.1,BsmtFin.Type.2,BsmtFin.SF.2,Bsmt.Unf.SF,Total.Bsmt.SF,Heating,Heating.QC,Central.Air,Electrical,X1st.Flr.SF,X2nd.Flr.SF,Low.Qual.Fin.SF,Bsmt.Full.Bath,Bsmt.Half.Bath,Full.Bath,Half.Bath,Bedroom.AbvGr,Kitchen.AbvGr,Kitchen.Qual,TotRms.AbvGrd,Functional,Fireplaces,Fireplace.Qu,Garage.Type,Garage.Yr.Blt,Garage.Finish,Garage.Cars,Garage.Area,Garage.Qual,Garage.Cond,Paved.Drive,Wood.Deck.SF,Open.Porch.SF,Enclosed.Porch,X3Ssn.Porch,Screen.Porch,Pool.Area,Misc.Val,Mo.Sold,Yr.Sold,Sale.Type,Sale.Condition
18,527258010,1856,394432,20,RL,88.0,11394,Pave,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1445.0,Unf,0.0,411.0,1856.0,GasA,Ex,Y,SBrkr,1856,0,0,1.0,0.0,1,1,1,1,Ex,8,Typ,1,Ex,Attchd,2010.0,Fin,3.0,834.0,TA,TA,Y,113,0,0,0,0,0,0,6,2010,New,Partial
20,527302110,2073,210000,20,RL,85.0,13175,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1978,1988,Gable,CompShg,Plywood,Plywood,Stone,119.0,TA,TA,CBlock,Gd,TA,No,ALQ,790.0,Rec,163.0,589.0,1542.0,GasA,TA,Y,SBrkr,2073,0,0,1.0,0.0,2,0,3,1,TA,7,Min1,2,TA,Attchd,1978.0,Unf,2.0,500.0,TA,TA,Y,349,0,0,0,0,0,0,2,2010,WD ,Normal
21,527358140,1844,190000,20,RL,105.0,11751,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,705.0,Unf,0.0,1139.0,1844.0,GasA,Ex,Y,SBrkr,1844,0,0,0.0,0.0,2,0,3,1,TA,7,Typ,1,TA,Attchd,1977.0,RFn,2.0,546.0,TA,TA,Y,0,122,0,0,0,0,0,1,2010,COD,Normal
22,527358200,1173,170000,85,RL,85.0,10625,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,7,6,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,81.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,885.0,LwQ,168.0,0.0,1053.0,GasA,TA,Y,SBrkr,1173,0,0,1.0,0.0,2,0,3,1,Gd,6,Typ,2,TA,Attchd,1974.0,RFn,2.0,528.0,TA,TA,Y,0,120,0,0,0,0,0,1,2010,WD ,Family
26,527403020,1056,142000,20,RL,65.0,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,775.0,Unf,0.0,281.0,1056.0,GasA,Ex,Y,SBrkr,1056,0,0,1.0,0.0,1,0,3,1,TA,6,Typ,1,Fa,Attchd,1968.0,Unf,1.0,304.0,TA,TA,Y,0,85,184,0,0,0,0,7,2010,WD ,Normal
29,527427230,1337,184000,120,RH,26.0,5858,Pave,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1051.0,BLQ,0.0,354.0,1405.0,GasA,Ex,Y,SBrkr,1337,0,0,1.0,0.0,2,0,2,1,Gd,5,Typ,1,Fa,Attchd,1999.0,Fin,2.0,511.0,TA,TA,Y,203,68,0,0,0,0,0,6,2010,WD ,Normal
33,527452190,1069,127500,120,RL,53.0,4043,Pave,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,360.0,Unf,0.0,709.0,1069.0,GasA,TA,Y,SBrkr,1069,0,0,0.0,0.0,2,0,2,1,TA,4,Typ,1,Fa,Attchd,1977.0,RFn,2.0,440.0,TA,TA,Y,0,55,0,0,165,0,0,7,2010,WD ,Normal
34,527453130,1456,149900,160,RL,24.0,2280,Pave,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,514.0,Unf,0.0,341.0,855.0,GasA,TA,Y,SBrkr,855,601,0,0.0,0.0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,1975.0,Unf,2.0,440.0,TA,TA,Y,173,0,0,0,0,0,0,6,2010,WD ,Normal
36,527454200,1456,146000,160,RL,24.0,2280,Pave,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,5,1978,1978,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,311.0,Unf,0.0,544.0,855.0,GasA,Fa,Y,SBrkr,855,601,0,0.0,0.0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1978.0,Unf,2.0,440.0,TA,TA,Y,26,0,0,0,0,0,0,7,2010,WD ,Normal
37,528108120,2334,376162,60,RL,102.0,12858,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162.0,Ex,TA,PConc,Ex,TA,No,Unf,0.0,Unf,0.0,1590.0,1590.0,GasA,Ex,Y,SBrkr,1627,707,0,0.0,0.0,2,1,3,1,Ex,10,Typ,1,Gd,Attchd,2009.0,Fin,3.0,751.0,TA,TA,Y,144,133,0,0,0,0,0,1,2010,New,Partial
38,528112020,1704,306000,20,RL,98.0,11478,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218.0,Unf,0.0,486.0,1704.0,GasA,Ex,Y,SBrkr,1704,0,0,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3.0,772.0,TA,TA,Y,0,50,0,0,0,0,0,5,2010,WD ,Normal
39,528120060,1940,395192,20,RL,83.0,10159,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,450.0,Ex,TA,PConc,Ex,TA,Av,GLQ,1646.0,Unf,0.0,284.0,1930.0,GasA,Ex,Y,SBrkr,1940,0,0,1.0,0.0,2,1,3,1,Ex,8,Typ,1,Gd,Attchd,2010.0,Fin,3.0,606.0,TA,TA,Y,168,95,0,0,0,0,0,4,2010,New,Partial
41,528120100,1541,220000,20,RL,95.0,12182,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,226.0,Gd,TA,PConc,Gd,TA,Mn,BLQ,1201.0,Unf,0.0,340.0,1541.0,GasA,Ex,Y,SBrkr,1541,0,0,0.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2005.0,RFn,2.0,532.0,TA,TA,Y,0,70,0,0,0,0,0,5,2010,New,Partial
42,528120120,1698,275000,20,RL,90.0,11520,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,615.0,Gd,TA,PConc,Ex,TA,No,GLQ,110.0,Unf,0.0,1588.0,1698.0,GasA,Ex,Y,SBrkr,1698,0,0,0.0,0.0,2,0,3,1,Ex,7,Typ,1,Gd,Attchd,2005.0,Fin,3.0,730.0,TA,TA,Y,192,74,0,0,0,0,0,6,2010,WD ,Normal
43,528138020,1822,259000,20,RL,79.0,14122,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,240.0,Gd,TA,PConc,Ex,TA,No,GLQ,28.0,Unf,0.0,1794.0,1822.0,GasA,Ex,Y,SBrkr,1822,0,0,0.0,0.0,2,0,3,1,Ex,8,Typ,1,Gd,Attchd,2005.0,RFn,3.0,678.0,TA,TA,Y,0,119,0,0,0,0,0,2,2010,WD ,Normal
45,528150070,2364,611657,20,RL,100.0,12919,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,760.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,2188.0,Unf,0.0,142.0,2330.0,GasA,Ex,Y,SBrkr,2364,0,0,1.0,0.0,2,1,2,1,Ex,11,Typ,2,Gd,Attchd,2009.0,Fin,3.0,820.0,TA,TA,Y,0,67,0,0,0,0,0,3,2010,New,Partial
46,528175010,1358,224000,120,RL,44.0,6371,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,128.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,733.0,Unf,0.0,625.0,1358.0,GasA,Ex,Y,SBrkr,1358,0,0,1.0,0.0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2010.0,RFn,2.0,484.0,TA,TA,Y,192,35,0,0,0,0,0,6,2010,New,Partial
47,528176010,2696,500000,20,RL,110.0,14300,Pave,Reg,HLS,AllPub,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,1095.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1373.0,Unf,0.0,1473.0,2846.0,GasA,Ex,Y,SBrkr,2696,0,0,1.0,0.0,2,1,3,1,Ex,10,Typ,2,Gd,Attchd,2003.0,Fin,3.0,958.0,TA,TA,Y,220,150,0,0,0,0,0,6,2010,WD ,Normal
48,528176070,2250,320000,60,RL,105.0,13650,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,232.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,578.0,Unf,0.0,1093.0,1671.0,GasA,Ex,Y,SBrkr,1687,563,0,1.0,0.0,2,1,3,1,Gd,7,Typ,1,Ex,Attchd,2002.0,Fin,3.0,756.0,TA,TA,Y,238,130,0,0,0,0,0,6,2010,WD ,Normal
49,528180070,1752,319900,120,RL,61.0,7658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456.0,Unf,0.0,1296.0,1752.0,GasA,Ex,Y,SBrkr,1752,0,0,1.0,0.0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,RFn,2.0,576.0,TA,TA,Y,196,82,0,0,0,0,0,2,2010,WD ,Normal
50,528181050,1370,205000,120,RL,41.0,7132,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,1346.0,1370.0,GasA,Ex,Y,SBrkr,1370,0,0,0.0,0.0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2006.0,RFn,2.0,484.0,TA,TA,Y,120,49,0,0,0,0,0,4,2010,WD ,Normal
54,528228440,1269,192000,120,RL,43.0,3182,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,Gd,TA,PConc,Gd,TA,No,GLQ,24.0,Unf,0.0,1232.0,1256.0,GasA,Ex,Y,SBrkr,1269,0,0,0.0,0.0,2,0,2,1,Gd,6,Typ,1,TA,Attchd,2004.0,Fin,2.0,430.0,TA,TA,Y,146,20,0,0,144,0,0,4,2010,WD ,Normal
55,528231020,1374,184500,80,RL,67.0,13300,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,326.0,Unf,0.0,58.0,384.0,GasA,Ex,Y,SBrkr,744,630,0,1.0,0.0,2,1,3,1,Gd,7,Typ,1,Gd,BuiltIn,2004.0,Fin,2.0,400.0,TA,TA,Y,100,0,0,0,0,0,0,6,2010,WD ,Normal
57,528240130,1733,185088,60,RL,63.0,8577,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,847.0,847.0,GasA,Ex,Y,SBrkr,847,886,0,0.0,0.0,2,1,3,1,Gd,7,Typ,1,Gd,BuiltIn,2004.0,Fin,2.0,433.0,TA,TA,Y,144,48,0,0,0,0,0,4,2010,WD ,Normal
60,528328100,2599,333168,60,RL,108.0,14774,Pave,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,9,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,165.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1393.0,1393.0,GasA,Ex,Y,SBrkr,1422,1177,0,0.0,0.0,2,1,4,1,Gd,10,Typ,1,TA,BuiltIn,1999.0,Fin,3.0,779.0,TA,TA,Y,668,30,0,0,0,0,0,5,2010,WD ,Normal
61,528344070,2475,355000,60,RL,60.0,17433,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,114.0,Gd,TA,PConc,Ex,TA,No,Unf,0.0,Unf,0.0,1629.0,1629.0,GasA,Ex,Y,SBrkr,1645,830,0,0.0,0.0,2,1,4,1,Gd,7,Typ,1,TA,Attchd,1998.0,Fin,3.0,962.0,TA,TA,Y,23,172,0,0,256,0,0,1,2010,WD ,Normal
62,528358010,1720,260400,20,RL,59.0,10593,Pave,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,1Story,7,5,1996,1996,Hip,CompShg,VinylSd,VinylSd,BrkFace,338.0,Gd,TA,PConc,Gd,TA,No,GLQ,919.0,Unf,0.0,801.0,1720.0,GasA,Ex,Y,SBrkr,1720,0,0,1.0,0.0,2,0,3,1,Gd,7,Typ,1,TA,Attchd,1996.0,Fin,2.0,527.0,TA,TA,Y,240,56,154,0,0,0,0,3,2010,WD ,Normal
63,528363130,2622,325000,60,RL,98.0,12256,Pave,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1994,1995,Gable,CompShg,HdBoard,HdBoard,BrkFace,362.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1032.0,Unf,0.0,431.0,1463.0,GasA,Ex,Y,SBrkr,1500,1122,0,1.0,0.0,2,1,3,1,Gd,9,Typ,2,TA,Attchd,1994.0,RFn,2.0,712.0,TA,TA,Y,186,32,0,0,0,0,0,4,2010,WD ,Normal
64,528382020,2270,290000,60,RL,92.0,11764,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,7,1999,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,348.0,Gd,TA,PConc,Gd,TA,No,GLQ,524.0,Unf,0.0,628.0,1152.0,GasA,Ex,Y,SBrkr,1164,1106,0,0.0,0.0,2,1,4,1,Gd,9,Typ,1,Gd,Attchd,1999.0,Fin,3.0,671.0,TA,TA,Y,132,57,0,0,0,0,0,4,2010,WD ,Normal
66,528386040,3238,410000,50,RL,56.0,14720,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,1.5Fin,8,5,1995,1996,Hip,CompShg,VinylSd,VinylSd,BrkFace,579.0,Gd,TA,PConc,Gd,TA,Av,GLQ,816.0,Unf,0.0,1217.0,2033.0,GasA,Ex,Y,SBrkr,2053,1185,0,1.0,0.0,2,1,4,1,Gd,9,Typ,1,Ex,Attchd,1996.0,Fin,3.0,666.0,TA,TA,Y,283,86,0,0,0,0,0,3,2010,WD ,Normal
71,528477080,1947,254900,60,FV,100.0,12552,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,222.0,Unf,0.0,769.0,991.0,GasA,Ex,Y,SBrkr,991,956,0,0.0,0.0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,2004.0,RFn,2.0,678.0,TA,TA,Y,0,136,0,0,0,0,0,5,2010,WD ,Normal
72,528480090,1468,271500,20,FV,84.0,10440,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1414.0,Unf,0.0,54.0,1468.0,GasA,Ex,Y,SBrkr,1468,0,0,1.0,0.0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2005.0,Fin,2.0,528.0,TA,TA,Y,0,102,0,0,216,0,0,5,2010,WD ,Normal
76,531451110,923,143000,120,RL,50.0,8012,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1980,1980,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,543.0,BLQ,119.0,261.0,923.0,GasA,TA,Y,SBrkr,923,0,0,0.0,0.0,2,0,2,1,TA,5,Typ,1,TA,Attchd,1980.0,RFn,1.0,264.0,TA,TA,Y,80,0,0,0,0,0,0,5,2010,WD ,Normal
77,531451280,1845,189000,60,RL,70.0,11218,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,1992,1992,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1055.0,1055.0,GasA,Ex,Y,SBrkr,1055,790,0,0.0,0.0,2,1,3,1,Gd,8,Typ,1,TA,Attchd,1992.0,RFn,2.0,462.0,TA,TA,Y,635,104,0,0,0,0,400,5,2010,WD ,Normal
78,531452020,918,99500,120,RL,55.0,7892,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1979,1979,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,918.0,918.0,GasA,TA,Y,SBrkr,918,0,0,0.0,0.0,2,0,2,1,TA,5,Typ,1,TA,Attchd,1979.0,Unf,1.0,264.0,TA,TA,Y,28,0,0,0,0,0,0,4,2010,WD ,Normal
82,531453040,1564,171000,60,RL,70.0,8400,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,6,1980,1981,Gable,CompShg,HdBoard,HdBoard,BrkFace,130.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,650.0,650.0,GasA,TA,Y,SBrkr,888,676,0,0.0,0.0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1980.0,Unf,2.0,476.0,TA,TA,Y,0,50,0,0,204,0,0,4,2010,WD ,Normal
