,id,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice,total_sqft,total_bath,total_porch_sf,total_home_quality,sqft_to_lot_ratio,sqft_to_quality_ratio,bed_to_bath_ratio,bsmt_to_totalsqft_ratio,porch_to_totalsqft_ratio,diff_grnd_livarea_totalsqft,size_relative_to_the_neighbors,lot_frontage_relative_to_the_neighbors,lot_area_relative_to_the_neighbors,remodeled_relative_to_the_neighbors,built_relative_to_the_neighbors,houses_in_neighborhood_with_basement,houses_in_neighborhood_with_garage,houses_in_neighborhood_with_fireplace,houses_in_neighborhood_with_pool,sqft_to_rooms_ratio,lot_frontage_to_lot_area_ratio
15,324,20,RL,93.0,10114,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1430.0,1430.0,GasA,Ex,Y,SBrkr,1430,0,0,1430,0.0,0.0,2,0,3,1,Gd,7,Typ,0,Gd,Attchd,2004.0,RFn,2.0,TA,TA,Y,0,0,0,0,0,0,Gd,MnPrv,Shed,0,3,2010,WD ,173500,1430,2.0,0,10,0.14138817480719795,143.0,1.5,1.0,0.0,0,82,74.10906085500646,11647.329268292682,1984.0,1980.5,82,82,82,82,204.28571428571428,0.009195175004943643
16,1311,70,RM,34.0,4571,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,624.0,624.0,GasA,Fa,N,SBrkr,624,720,0,1344,0.0,0.0,1,0,4,1,TA,7,Typ,0,Gd,Detchd,1916.0,Unf,3.0,Fa,Fa,Y,0,0,96,0,0,0,Gd,MnPrv,Shed,0,5,2008,COD,98000,1344,1.0,96,10,0.29402756508422667,134.4,4.0,0.4642857142857143,0.07142857142857142,0,163,63.0262208374822,8439.61963190184,1965.0,1920.0,163,163,163,163,192.0,0.007438197330999781
17,770,20,RL,80.0,8816,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,Rec,651.0,Unf,0.0,470.0,1121.0,GasA,TA,Y,SBrkr,1121,0,0,1121,1.0,0.0,1,0,3,1,TA,5,Typ,0,Gd,Detchd,1963.0,Unf,2.0,TA,TA,Y,0,80,0,0,0,0,Gd,MnPrv,Shed,0,6,2009,WD ,139000,1121,1.0,80,11,0.1271551724137931,101.9090909090909,3.0,1.0,0.07136485280999108,0,111,71.37081060117707,10405.288288288288,1970.0,1965.0,111,111,111,111,224.2,0.009074410163339383
18,2063,20,RL,71.0,8197,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,660.0,660.0,GasA,Ex,Y,SBrkr,1285,0,0,1285,0.0,0.0,1,1,3,1,TA,7,Typ,1,TA,Attchd,1977.0,RFn,2.0,TA,TA,Y,138,0,0,0,0,0,Gd,MnPrv,Shed,0,4,2007,WD ,143500,1285,1.5,0,11,0.15676467000121996,116.81818181818181,2.0,0.5136186770428015,0.0,0,111,71.37081060117707,10405.288288288288,1970.0,1965.0,111,111,111,111,183.57142857142858,0.008661705502012932
19,69,60,FV,72.0,8640,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,732.0,756.0,GasA,Ex,Y,SBrkr,764,783,0,1547,0.0,0.0,2,1,3,1,Gd,7,Typ,0,Gd,Attchd,2009.0,Unf,2.0,TA,TA,Y,169,45,0,0,0,0,Gd,MnPrv,Shed,0,6,2010,Con,215200,1547,2.5,45,12,0.17905092592592592,128.91666666666666,1.2,0.48868778280542985,0.029088558500323207,0,130,64.47251532644202,7510.723076923077,2006.0,2006.0,130,130,130,130,221.0,0.008333333333333333
20,2062,20,RL,109.0,8724,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,492.0,Unf,0.0,402.0,894.0,GasA,Gd,Y,SBrkr,894,0,0,894,0.0,0.0,1,0,3,1,TA,5,Typ,1,Po,Attchd,1968.0,Fin,2.0,TA,TA,Y,0,0,0,0,0,0,Gd,MnPrv,Shed,0,5,2007,WD ,129000,894,1.0,0,10,0.10247592847317744,89.4,3.0,1.0,0.0,0,111,71.37081060117707,10405.288288288288,1970.0,1965.0,111,111,111,111,178.8,0.012494268684089867
21,351,120,RL,40.0,5664,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1158.0,Unf,0.0,343.0,1501.0,GasA,Ex,Y,SBrkr,1659,0,0,1659,1.0,0.0,2,0,2,1,Ex,5,Typ,1,Ex,Attchd,2000.0,Fin,2.0,TA,TA,Y,212,59,0,0,0,0,Gd,MnPrv,Shed,0,10,2009,WD ,278000,1659,2.0,59,13,0.2929025423728814,127.61538461538461,1.0,0.9047619047619048,0.03556359252561784,0,38,60.987263096659625,11892.947368421053,2003.5,2003.5,38,38,38,38,331.8,0.007062146892655367
22,2393,60,RL,103.0,12867,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,None,98.79773063640849,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1209.0,1209.0,GasA,Ex,Y,SBrkr,1209,1044,0,2253,0.0,0.0,2,1,3,1,Ex,8,Typ,1,Gd,Attchd,2005.0,Fin,2.0,TA,TA,Y,243,142,0,0,0,0,Gd,MnPrv,Shed,0,7,2006,New,344133,2253,2.5,142,13,0.1750990906971322,173.30769230769232,1.2,0.5366178428761651,0.06302707501109632,0,122,85.8658770348754,11345.11475409836,2006.0,2005.0,122,122,122,122,281.625,0.008004973964405067
23,12,20,RL,68.87899941826643,7980,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,0.0,233.0,1168.0,GasA,Ex,Y,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,TA,6,Typ,0,Gd,Attchd,1992.0,Fin,2.0,TA,TA,Y,483,21,0,0,0,0,Gd,GdPrv,Shed,500,3,2010,WD ,185000,1187,2.0,21,13,0.1487468671679198,91.3076923076923,1.5,0.9839932603201348,0.017691659646166806,0,116,70.99484463701828,11143.068965517241,2000.0,2000.0,116,116,116,116,197.83333333333334,0.00863145356118627
24,2339,190,RL,100.0,34650,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,1056.0,Unf,0.0,0.0,1056.0,GasA,TA,N,SBrkr,1056,0,0,1056,1.0,0.0,1,0,3,1,TA,5,Typ,0,Gd,Attchd,1955.0,Fin,2.0,TA,TA,Y,264,0,0,0,0,0,Gd,MnPrv,Shed,0,1,2006,WD ,145000,1056,1.0,0,10,0.030476190476190476,105.6,3.0,1.0,0.0,0,116,70.99484463701828,11143.068965517241,2000.0,2000.0,116,116,116,116,211.2,0.002886002886002886
25,624,20,RL,92.0,10573,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,TA,TA,CBlock,TA,TA,No,Rec,1312.0,Unf,0.0,141.0,1453.0,GasA,Ex,Y,SBrkr,1453,0,0,1453,1.0,0.0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1961.0,RFn,2.0,TA,TA,Y,0,49,0,0,288,0,Gd,GdPrv,Shed,0,4,2009,WD ,187500,1453,2.0,337,12,0.1374255178284309,121.08333333333333,1.5,1.0,0.23193392980041294,0,313,74.22425550184273,10014.741214057509,1963.0,1960.0,313,313,313,313,242.16666666666666,0.008701409249976354
26,86,20,RL,65.0,8450,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,553.0,BLQ,117.0,224.0,894.0,GasA,Ex,Y,SBrkr,894,0,0,894,1.0,0.0,1,0,3,1,TA,5,Typ,1,Gd,Detchd,1973.0,Unf,1.0,TA,TA,Y,416,144,0,0,0,0,Gd,MnPrv,Shed,0,4,2010,WD ,138500,894,1.0,144,13,0.10579881656804734,68.76923076923077,3.0,1.0,0.1610738255033557,0,111,71.37081060117707,10405.288288288288,1970.0,1965.0,111,111,111,111,178.8,0.007692307692307693
27,1534,50,RL,68.87899941826643,11700,Pave,Grvl,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,606.0,Unf,0.0,336.0,942.0,GasA,Ex,Y,SBrkr,1265,673,0,1938,0.0,0.0,2,0,4,1,Gd,7,Min2,1,Gd,Detchd,1937.0,Unf,1.0,TA,TA,Y,0,40,0,0,0,0,Gd,MnPrv,Shed,0,7,2008,WD ,198000,1938,2.0,40,11,0.16564102564102565,176.1818181818182,2.0,0.48606811145510836,0.02063983488132095,0,71,69.18399986890513,11667.732394366198,1991.0,1940.0,71,71,71,71,276.85714285714283,0.005887093967373199
28,2243,190,C (all),75.0,8250,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,957.0,957.0,GasA,Fa,N,SBrkr,1034,957,0,1991,0.0,0.0,2,0,4,2,TA,9,Typ,0,Gd,Attchd,1978.6775193798446,Unf,0.0,TA,TA,N,0,0,133,0,0,0,Gd,MnPrv,Shed,0,6,2007,WD ,119600,1991,2.0,133,11,0.24133333333333334,181.0,2.0,0.48066298342541436,0.06680060271220492,0,69,62.397028943352645,8359.695652173914,1950.0,1925.0,69,69,69,69,221.22222222222223,0.00909090909090909
29,1957,50,RL,60.0,8064,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Unf,0.0,Unf,0.0,672.0,672.0,GasA,Ex,Y,SBrkr,672,252,0,924,0.0,0.0,1,0,3,1,TA,6,Typ,1,Po,Detchd,2003.0,Unf,2.0,TA,TA,Y,0,0,0,0,0,0,Gd,MnPrv,Shed,2000,7,2007,WD ,122900,924,1.0,0,12,0.11458333333333333,77.0,3.0,0.7272727272727273,0.0,0,313,74.22425550184273,10014.741214057509,1963.0,1960.0,313,313,313,313,154.0,0.00744047619047619
30,380,20,RL,80.0,9600,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,1104.0,Unf,0.0,1420.0,2524.0,GasA,TA,Y,SBrkr,2524,0,0,2524,1.0,0.0,2,1,4,1,Gd,9,Typ,1,Gd,Attchd,1981.0,Fin,2.0,TA,TA,Y,474,120,0,0,0,0,Gd,MnPrv,Shed,0,7,2009,WD ,278000,2524,2.5,120,13,0.2629166666666667,194.15384615384616,1.6,1.0,0.04754358161648178,0,87,76.93667796700832,11752.988505747126,1978.0,1976.0,87,87,87,87,280.44444444444446,0.008333333333333333
31,2860,70,RL,68.87899941826643,11435,Pave,Grvl,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,792.0,792.0,GasA,Fa,Y,SBrkr,792,725,0,1517,0.0,0.0,1,0,3,1,Gd,7,Typ,2,Gd,Detchd,1931.0,Unf,2.0,TA,TA,Y,0,0,0,0,0,0,Gd,MnPrv,Shed,0,6,2006,WD ,230000,1517,1.0,0,15,0.13266287713161345,101.13333333333334,3.0,0.5220830586684245,0.0,0,71,69.18399986890513,11667.732394366198,1991.0,1940.0,71,71,71,71,216.71428571428572,0.006023524216726404
